,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,043290,케이맥,"1,695","-60","-3.4","1,735","1,770","1,680","657,880","1,129,332,190","62,988,388,245","0.02","37,161,291"
,043340,에쎈테크,"1,240","0","0.0","1,225","1,240","1,220","307,325","377,546,125","89,280,000,000","0.03","72,000,000"
,043360,디지아이,"2,260","-95","-4.0","2,360","2,375","2,260","122,525","280,091,865","20,340,000,000","0.01","9,000,000"
,043370,평화정공,"6,470","-70","-1.1","6,480","6,540","6,260","81,453","519,161,680","135,870,000,000","0.05","21,000,000"
,043590,크로바하이텍,"1,490","0","0.0","0","0","0","0","0","34,717,000,000","0.01","23,300,000"
,043610,지니뮤직,"3,515","-45","-1.3","3,520","3,590","3,420","397,887","1,388,194,135","204,275,764,570","0.07","58,115,438"
,043650,국순당,"3,835","0","0.0","3,835","3,845","3,770","67,855","257,866,865","68,486,595,840","0.02","17,858,304"
,043710,서울리거,"1,080","-35","-3.1","1,135","1,140","1,050","155,779","166,799,325","37,695,944,160","0.01","34,903,652"
,043910,자연과환경,"1,515","-25","-1.6","1,540","1,555","1,505","1,251,541","1,908,395,700","80,521,275,855","0.03","53,149,357"
,044060,조광ILI,"6,190","-20","-0.3","6,190","6,300","6,030","61,457","377,505,770","61,192,210,640","0.02","9,885,656"
,044180,KD,"495","0","0.0","0","0","0","0","0","38,784,885,480","0.01","78,353,304"
,044340,위닉스,"19,600","0","0.0","19,400","19,700","19,300","132,027","2,568,223,050","350,319,130,000","0.12","17,873,425"
,044480,경남바이오파마,"5,630","180","3.3","5,450","5,850","5,380","959,730","5,399,569,340","80,235,995,670","0.03","14,251,509"
,044490,태웅,"12,150","-150","-1.2","11,950","12,900","11,400","1,411,961","17,230,524,750","243,089,679,150","0.08","20,007,381"
,044780,에이치케이,"1,255","-40","-3.1","1,280","1,310","1,250","137,024","172,972,295","23,224,762,685","0.01","18,505,787"
,044960,이글벳,"8,360","-50","-0.6","8,440","8,750","8,260","3,684,147","31,451,960,670","105,686,141,880","0.04","12,641,883"
,045060,오공,"5,100","-110","-2.1","5,220","5,230","5,070","354,041","1,821,085,910","86,404,067,400","0.03","16,941,974"
