Date,Adj Close,name,code,dollar,Dubai,Brent,Oman,WTI
2020-04-28,1870.0,유니온머티리얼,047400,1230.3,16.63,20.46,16.76,12.34
2020-04-29,1860.0,유니온머티리얼,047400,1225.2,17.12,22.54,17.58,15.06
2020-05-04,2360.0,유니온머티리얼,047400,1218.5,24.33,27.2,25.12,20.39
2020-05-06,2495.0,유니온머티리얼,047400,1227.8,26.88,29.72,27.44,23.99
2020-05-07,2410.0,유니온머티리얼,047400,1223.3,26.88,29.72,27.44,23.99
2020-05-08,2395.0,유니온머티리얼,047400,1226.5,25.92,30.97,26.31,24.74
2020-05-11,2290.0,유니온머티리얼,047400,1217.7,26.72,29.63,27.07,24.14
2020-05-12,2410.0,유니온머티리얼,047400,1217.8,26.93,29.98,27.3,25.78
2020-05-13,2320.0,유니온머티리얼,047400,1226.7,26.84,29.19,27.39,25.29
2020-05-14,2480.0,유니온머티리얼,047400,1226.3,29.83,31.13,30.22,27.56
2020-05-15,2605.0,유니온머티리얼,047400,1227.9,31.94,32.5,32.44,29.43
2020-05-18,2835.0,유니온머티리얼,047400,1229.3,32.9,34.81,33.44,31.82
2020-05-19,2675.0,유니온머티리얼,047400,1231.6,33.18,34.65,33.24,32.5
2020-05-20,2580.0,유니온머티리얼,047400,1224.5,32.95,35.75,33.02,33.49
2020-05-21,2610.0,유니온머티리얼,047400,1227.8,34.1,36.06,34.08,33.92
2020-05-22,3390.0,유니온머티리얼,047400,1230.7,32.62,35.13,32.6,33.25
2020-05-26,3530.0,유니온머티리얼,047400,1242.0,34.81,36.17,34.81,34.35
2020-05-27,4150.0,유니온머티리얼,047400,1237.1,34.48,34.74,34.48,32.81
2020-05-28,4015.0,유니온머티리얼,047400,1233.7,33.17,35.29,33.18,33.71
2020-05-29,4125.0,유니온머티리얼,047400,1239.4,34.86,35.33,35.17,35.49
2020-06-01,3815.0,유니온머티리얼,047400,1237.6,37.97,38.32,38.47,35.44
2020-06-02,3915.0,유니온머티리얼,047400,1227.8,38.93,39.57,39.08,36.81
2020-06-03,3710.0,유니온머티리얼,047400,1224.1,39.87,39.79,39.95,37.29
2020-06-04,3510.0,유니온머티리얼,047400,1216.9,38.82,39.99,38.92,37.41
